agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
100,random-32-32-20.map,PIBT,0,3117,100000,4494,100,random-32-32-20-random-24.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,100,random-32-32-20-random-24.scen
100,random-32-32-20.map,PIBT,0,3117,100000,4465,1000,random-32-32-20-random-24.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,1000,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,1,5501,71,6,0,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,0,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,0,5014,100000,6710,1,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,1,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,1,5169,59,157,10,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,10,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,1,5171,61,1651,100,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,5,100,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,0,5214,100000,19623,1000,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,1000,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBT,0,407441,100000,7517,0,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4709,0,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBT,0,7195,100000,8455,1,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4674,1,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBT,0,7171,100000,10559,10,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4603,10,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBT,0,7314,100000,11383,100,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4666,100,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBT,0,7066,100000,31969,1000,random-32-32-20-random-24.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4677,1000,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBT,0,210083,100000,9584,0,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5497,0,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBT,0,10376,100000,17291,1,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5481,1,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBT,0,210255,100000,15820,10,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5433,10,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBT,0,210578,100000,27095,100,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5563,100,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBT,0,209712,100000,43810,1000,random-32-32-20-random-24.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5598,1000,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,1013296,100000,11992,0,random-32-32-20-random-24.scen
