agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
380,warehouse-10-20-10-2-1.map,PIBT,0,850483,100000,28168,1000,warehouse-10-20-10-2-1-random-17.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,9639,1000,warehouse-10-20-10-2-1-random-17.scen
420,warehouse-10-20-10-2-1.map,PIBT,0,3556026,100000,25835,0,warehouse-10-20-10-2-1-random-17.scen
420,warehouse-10-20-10-2-1.map,PIBTOLD,0,3556026,100000,11086,0,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1727,162,3,0,warehouse-10-20-10-2-1-random-9.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,0,warehouse-10-20-10-2-1-random-9.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,1,warehouse-10-20-10-2-1-random-9.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,1,warehouse-10-20-10-2-1-random-9.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,10,warehouse-10-20-10-2-1-random-9.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,10,warehouse-10-20-10-2-1-random-9.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,100,warehouse-10-20-10-2-1-random-9.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,100,warehouse-10-20-10-2-1-random-9.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,1000,warehouse-10-20-10-2-1-random-9.scen
